Date,Open,High,Low,Close,Adj Close,Volume,New Price
16/2/2021,3.9,3.9,3.87,3.87,3.089384,34100,0
17/2/2021,3.87,3.87,3.87,3.87,3.089384,0,1
18/2/2021,4.19,4.19,4.19,4.19,3.344836,400,0
19/2/2021,4.19,4.19,4.19,4.19,3.344836,0,1
22/2/2021,3.5,4.4,3.5,4.4,3.512477,3900,0
23/2/2021,4.4,4.4,4.4,4.4,3.512477,0,0
24/2/2021,4.39,4.39,4.39,4.39,3.504495,500,0
25/2/2021,4.39,4.39,4.39,4.39,3.504495,0,0
26/2/2021,4.35,4.35,4.35,4.35,3.472563,500,0
1/3/2021,4.18,4.18,4.18,4.18,3.336854,1100,0
2/3/2021,3.79,3.79,3.42,3.42,2.730153,18100,1
3/3/2021,3.81,3.97,3.81,3.97,3.169213,300,0
4/3/2021,3.97,3.97,3.97,3.97,3.169213,0,1
5/3/2021,4.08,4.13,4.08,4.13,3.296939,600,0
8/3/2021,4.13,4.13,4.13,4.13,3.296939,0,1
9/3/2021,4.39,4.39,4.3,4.3,3.432649,600,0
10/3/2021,4.3,4.3,4.3,4.3,3.432649,0,0
11/3/2021,3.61,4.2,3.61,4.2,3.352819,600,0
12/3/2021,4.2,4.2,4.2,4.2,3.352819,0,1
15/3/2021,4.21,4.49,4.2,4.49,3.584324,1800,0
16/3/2021,4.49,4.49,4.49,4.49,3.584324,0,0
17/3/2021,3.98,3.98,3.98,3.98,3.177196,200,0
18/3/2021,3.98,3.98,3.98,3.98,3.177196,0,1
19/3/2021,4.24,4.24,4.24,4.24,3.384751,300,0
22/3/2021,3.92,3.92,3.92,3.92,3.129298,500,0
23/3/2021,3.92,3.92,3.92,3.92,3.129298,0,1
24/3/2021,3.53,4.02,3.53,4.02,3.209127,16700,0
25/3/2021,4.02,4.02,4.02,4.02,3.209127,0,1
26/3/2021,4.39,4.5,4.07,4.5,3.592306,20000,0
29/3/2021,4.33,4.33,4.33,4.33,3.456597,100,1
30/3/2021,4.5,4.5,4.5,4.5,3.592306,900,0
31/3/2021,4.3,4.5,4.3,4.5,3.592306,600,0
1/4/2021,4.5,4.5,4.5,4.5,3.592306,100,0
5/4/2021,4.24,4.24,4.08,4.08,3.257024,1900,0
6/4/2021,4.08,4.08,4.08,4.08,3.257024,100,0
7/4/2021,4.08,4.08,4.08,4.08,3.257024,0,1
8/4/2021,4.3,4.3,4.3,4.3,3.432649,1800,0
9/4/2021,4.24,4.24,4.24,4.24,3.384751,500,0
12/4/2021,4.24,4.24,4.24,4.24,3.384751,0,0
13/4/2021,4.64,4.64,4.18,4.18,3.336854,900,0
14/4/2021,4.08,4.08,3.92,3.92,3.129298,50100,1
15/4/2021,4.69,4.69,4.69,4.69,3.743982,400,0
16/4/2021,4.69,4.69,4.69,4.69,3.743982,0,0
